154;310;0.79;0.79;309;0.33;0.33;6;12;2016;23;47;1.12;1.12;0.46;0.46;0;1;0;0;0.18;0;0;0;1;0;0;0.08;0;1;0;0;0.2;1;0;0;0;0;0.0304;0;1;0;0;0;0.3;1
154;309;0.62;0.62;310;0.44;0.44;10;12;2016;1;49;1.06;1.06;0.18;0.18;0;1;0;0;0;1;0;0;0;0;0;0.16;0;0;1;0;0.128;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;1
154;310;0.64;0.64;309;0.28;0.28;10;12;2016;10;52;0.92;0.92;0.36;0.36;0;1;0;0;0.18;0;0;0;1;0;0;0.08;0;0;1;0;0.026;0;0;0;0;1;0.0576;0;1;0;0;0;0.3;1
155;311;1;1;312;0.11;0.11;5;12;2016;9;39;1.11;1.11;0.89;0.89;0;0;1;0;0.18;1;0;0;0;0;0;0.16;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;1;0;0;0.28;0
155;312;1;1;311;0.13;0.13;5;12;2016;23;30;1.13;1.13;0.87;0.87;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;0
155;311;0.97;0.97;312;0.13;0.13;6;12;2016;19;16;1.1;1.1;0.84;0.84;0;0;1;0;0.18;0;0;1;0;0;0;0.128;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;1;0;0;0.28;1
155;312;0.78;0.78;311;0.19;0.19;7;12;2016;14;31;0.97;0.97;0.59;0.59;0;1;0;0;0.18;0;0;1;0;0;0;0.0448;0;1;0;0;0.2;0;0;0;0;1;0.0576;0;1;0;0;0;0.3;0
155;311;0.55;0.55;312;0.21;0.21;9;12;2016;16;1;0.76;0.76;0.34;0.34;0;0;0;1;0.036;0;0;1;0;0;0;0.128;1;0;0;0;0.2;0;0;0;1;0;0.0702;0;0;0;1;0;0.112;1
155;312;0.88;0.88;311;0.24;0.24;9;12;2016;16;58;1.12;1.12;0.64;0.64;0;1;0;0;0.18;0;0;1;0;0;0;0.0448;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;0
155;311;0.47;0.47;312;0.24;0.24;9;12;2016;17;30;0.71;0.71;0.23;0.23;0;0;0;1;0.036;0;0;1;0;0;0;0.128;0;0;1;0;0.128;0;0;0;1;0;0.0702;0;0;0;1;0;0.112;1
155;312;0.66;0.66;311;0.2;0.2;9;12;2016;18;39;0.86;0.86;0.46;0.46;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;0;0;1;0;0;0;0;0;1;0;0.12;0
155;311;0.62;0.62;312;0.19;0.19;9;12;2016;20;40;0.81;0.81;0.43;0.43;0;0;1;0;0.18;0;0;1;0;0;0;0.128;0;0;1;0;0.128;0;0;0;1;0;0.0702;0;0;0;1;0;0.112;1
155;312;0.49;0.49;311;0.32;0.32;9;12;2016;23;12;0.81;0.81;0.17;0.17;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;0;1;0;0.026;0;0;0;1;0;0;0;0;0;1;0;0.12;0
155;311;0.62;0.62;312;0.19;0.19;9;12;2016;23;56;0.81;0.81;0.43;0.43;0;0;1;0;0.18;0;0;1;0;0;0;0.128;0;0;1;0;0.128;0;0;0;1;0;0.0702;0;0;0;1;0;0.112;1
155;312;0.49;0.49;311;0.32;0.32;10;12;2016;0;14;0.81;0.81;0.17;0.17;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;0;1;0;0.026;0;0;0;1;0;0;0;0;0;1;0;0.12;0
155;311;0.44;0.44;312;0.37;0.37;10;12;2016;0;48;0.81;0.81;0.07;0.07;0;1;0;0;0;0;0;1;0;0;0;0.128;0;0;1;0;0.128;0;0;0;1;0;0.0702;0;0;0;1;0;0.112;1
155;312;0.49;0.49;311;0.32;0.32;10;12;2016;7;16;0.81;0.81;0.17;0.17;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;0;1;0;0.026;0;0;0;1;0;0;0;0;0;1;0;0.12;0
156;313;1;1;314;0.11;0.11;5;12;2016;11;57;1.11;1.11;0.89;0.89;0;0;1;0;0.18;1;0;0;0;0;0;0.16;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;1;0;0;0.28;0
156;314;1;1;313;0.13;0.13;5;12;2016;17;0;1.13;1.13;0.87;0.87;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
156;313;0.84;0.84;314;0.26;0.26;6;12;2016;11;54;1.1;1.1;0.58;0.58;0;0;1;0;0.18;0;0;1;0;0;0;0.128;1;0;0;0;0.2;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;1
156;314;0.79;0.79;313;0.24;0.24;6;12;2016;18;12;1.03;1.03;0.55;0.55;0;0;0;1;0.0486;0;0;0;1;0;0;0.08;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
156;313;0.8;0.8;314;0.29;0.29;7;12;2016;10;37;1.09;1.09;0.51;0.51;0;0;1;0;0.18;0;0;0;1;0;0;0.0896;1;0;0;0;0.2;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;1
156;314;0.59;0.59;313;0.44;0.44;7;12;2016;12;33;1.03;1.03;0.15;0.15;0;0;0;1;0.0486;0;0;0;1;0;0;0.08;1;0;0;0;0;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
156;313;0.7;0.7;314;0.31;0.31;7;12;2016;14;16;1.01;1.01;0.39;0.39;0;0;0;1;0.036;0;0;1;0;0;0;0.128;1;0;0;0;0.2;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;1
156;314;0.55;0.55;313;0.48;0.48;8;12;2016;11;50;1.03;1.03;0.07;0.07;0;0;0;1;0.0486;0;0;1;0;0;0;0.0448;1;0;0;0;0;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
156;313;0.66;0.66;314;0.24;0.24;8;12;2016;19;6;0.9;0.9;0.42;0.42;0;0;0;1;0.036;0;0;1;0;0;0;0.128;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;0;1;0;0.112;1
156;314;0.24;0.24;313;0.66;0.66;8;12;2016;21;39;0.9;0.9;-0.42;-0.42;0;0;0;1;0.0486;0;0;1;0;0;0;0.0448;1;0;0;0;0;1;0;0;0;0;0.0304;0;0;0;1;0;0.12;2
156;313;0.66;0.66;314;0.24;0.24;10;12;2016;8;23;0.9;0.9;0.42;0.42;0;0;0;1;0.036;0;0;1;0;0;0;0.128;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;0;1;0;0.112;3
156;314;0.31;0.31;313;0.7;0.7;10;12;2016;11;19;1.01;1.01;-0.39;-0.39;0;0;0;1;0.0486;0;0;1;0;0;0;0.0448;1;0;0;0;0;0;1;0;0;0;0.16;0;0;1;0;0;0.054;4
157;315;0.89;0.43;316;0.5;0.02;5;12;2016;9;20;1.39;0.45;0.39;0.41;1;0;0;0;0;1;0;0;0;0;0;0.16;1;0;0;0;0.2;0;0;0;1;0;0.0702;1;0;0;0;0;0;0
157;316;1;0.7;315;0.35;0.07;6;12;2016;1;26;1.35;0.77;0.65;0.63;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;1;0;0;0;0;0;1
157;315;0.77;0.77;316;0.28;0.28;6;12;2016;13;6;1.05;1.05;0.49;0.49;0;0;1;0;0.18;0;0;1;0;0;0;0.128;0;0;1;0;0.128;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;1
157;316;0.51;0.51;315;0.31;0.31;6;12;2016;16;57;0.82;0.82;0.2;0.2;0;0;0;1;0.0486;0;0;0;1;0;0;0.08;0;0;1;0;0.026;0;0;0;0;1;0.0576;0;1;0;0;0;0.3;1
157;315;0.75;0.57;316;0.33;0.17;6;12;2016;18;11;1.08;0.74;0.42;0.4;0;0;0;1;0.036;0;0;1;0;0;0;0.128;0;0;1;0;0.128;0;0;1;0;0;0;0;0;1;0;0;0.28;1
157;316;0.45;0.45;315;0.51;0.51;6;12;2016;22;30;0.96;0.96;-0.06;-0.06;0;0;0;1;0.0486;0;1;0;0;0;0;0.16;0;0;1;0;0.026;0;1;0;0;0;0.16;0;0;1;0;0;0.054;1
157;315;0.65;0.65;316;0.4;0.4;6;12;2016;23;47;1.05;1.05;0.25;0.25;0;0;1;0;0.18;0;1;0;0;0;0;0.0144;0;0;1;0;0.128;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;1
157;316;0.4;0.4;315;0.65;0.65;7;12;2016;20;59;1.05;1.05;-0.25;-0.25;0;0;1;0;0;0;1;0;0;0;0;0.16;0;0;1;0;0.026;0;1;0;0;0;0.16;0;0;1;0;0;0.054;4
158;317;0.59;0.59;318;0.37;0.37;5;12;2016;10;52;0.96;0.96;0.22;0.22;0;0;0;1;0.036;0;0;0;1;0;0;0.0896;0;0;1;0;0.128;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;0
158;318;0.65;0.65;317;0.31;0.31;5;12;2016;20;0;0.96;0.96;0.34;0.34;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;0;1;0;0.026;0;1;0;0;0;0.16;0;0;0;1;0;0.12;1
158;317;0.56;0.56;318;0.46;0.46;6;12;2016;10;23;1.02;1.02;0.1;0.1;0;0;0;1;0.036;0;0;0;1;0;0;0.0896;1;0;0;0;0.2;1;0;0;0;0;0.18;0;1;0;0;0;0.0588;1
158;318;0.59;0.59;317;0.44;0.44;6;12;2016;16;4;1.03;1.03;0.15;0.15;0;0;0;1;0.0486;0;0;0;1;0;0;0.08;1;0;0;0;0;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
158;317;0.55;0.55;318;0.5;0.5;6;12;2016;18;38;1.05;1.05;0.05;0.05;0;1;0;0;0;0;0;0;1;0;0;0.0896;0;0;1;0;0.128;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;1
158;318;0.5;0.5;317;0.55;0.55;7;12;2016;20;15;1.05;1.05;-0.05;-0.05;0;1;0;0;0.18;0;0;0;1;0;0;0.08;0;0;1;0;0.026;0;1;0;0;0;0.16;0;0;1;0;0;0.054;4
159;319;0.86;0.86;320;0.1;0.1;5;12;2016;15;35;0.96;0.96;0.76;0.76;0;0;1;0;0.18;0;0;1;0;0;0;0.128;1;0;0;0;0.2;0;0;0;1;0;0.0702;0;0;1;0;0;0.28;0
159;320;0.82;0.82;319;0.15;0.15;6;12;2016;1;2;0.97;0.97;0.67;0.67;0;1;0;0;0.18;0;0;0;1;0;0;0.08;0;1;0;0;0.2;0;0;0;0;1;0.0576;0;1;0;0;0;0.3;1
159;319;0.68;0.68;320;0.18;0.18;6;12;2016;15;49;0.86;0.86;0.5;0.5;0;0;0;1;0.036;0;0;0;1;0;0;0.0896;1;0;0;0;0.2;0;0;0;1;0;0.0702;0;0;1;0;0;0.28;1
159;320;0.64;0.46;319;0.38;0.2;7;12;2016;13;34;1.02;0.66;0.26;0.26;1;0;0;0;0;0;0;0;1;0;0;0.08;0;1;0;0;0.2;0;0;0;0;1;0.0576;0;0;0;1;0;0.12;1
159;319;0.38;0.2;320;0.64;0.46;7;12;2016;15;38;1.02;0.66;-0.26;-0.26;1;0;0;0;0;0;0;0;1;0;0;0.0896;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0.112;2
159;320;0.64;0.46;319;0.38;0.2;7;12;2016;22;1;1.02;0.66;0.26;0.26;1;0;0;0;0;0;0;0;1;0;0;0.08;0;1;0;0;0.2;0;0;0;0;1;0.0576;0;0;0;1;0;0.12;3
159;319;0.57;0.57;320;0.37;0.37;7;12;2016;22;36;0.94;0.94;0.2;0.2;0;1;0;0;0;0;0;0;1;0;0;0.0896;1;0;0;0;0.2;0;0;0;0;1;0;0;0;1;0;0;0.28;1
159;320;0.67;0.67;319;0.42;0.42;8;12;2016;1;13;1.09;1.09;0.25;0.25;0;1;0;0;0.18;0;0;0;1;0;0;0.08;0;1;0;0;0.2;0;1;0;0;0;0.16;0;0;1;0;0;0.054;1
159;319;0.55;0.55;320;0.5;0.5;8;12;2016;11;14;1.05;1.05;0.05;0.05;0;1;0;0;0;0;0;0;1;0;0;0.0896;0;0;1;0;0.128;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;1
159;320;0.62;0.62;319;0.38;0.38;9;12;2016;16;57;1;1;0.24;0.24;0;0;0;1;0.0486;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;0;0;1;0;0;0.054;1
159;319;0.51;0.51;320;0.46;0.46;9;12;2016;22;41;0.97;0.97;0.05;0.05;0;1;0;0;0;1;0;0;0;0;0;0.16;0;1;0;0;0;0;0;0;1;0;0.0702;0;0;1;0;0;0.28;1
159;320;0.58;0.58;319;0.47;0.47;10;12;2016;1;54;1.05;1.05;0.11;0.11;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;0;1;0;0.026;0;1;0;0;0;0.16;0;0;1;0;0;0.054;1
159;319;0.55;0.55;320;0.5;0.5;10;12;2016;9;23;1.05;1.05;0.05;0.05;0;1;0;0;0;0;0;0;1;0;0;0.0896;0;0;1;0;0.128;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;1
159;320;0.55;0.55;319;0.55;0.55;10;12;2016;11;15;1.1;1.1;0;0;0;1;0;0;0.18;0;1;0;0;0;0;0.16;1;0;0;0;0;0;1;0;0;0;0.16;0;0;1;0;0;0.054;1
159;319;0.55;0.55;320;0.55;0.55;10;12;2016;11;39;1.1;1.1;0;0;0;1;0;0;0;0;1;0;0;0;0;0.0144;1;0;0;0;0.2;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;4
160;321;1;1;322;0.11;0.11;5;12;2016;9;44;1.11;1.11;0.89;0.89;0;0;1;0;0.18;1;0;0;0;0;0;0.16;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;1;0;0;0.28;0
160;322;1;1;321;0.13;0.13;6;12;2016;15;24;1.13;1.13;0.87;0.87;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
160;321;0.59;0.59;322;0.37;0.37;6;12;2016;19;41;0.96;0.96;0.22;0.22;0;0;0;1;0.036;0;0;0;1;0;0;0.0896;0;0;1;0;0.128;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;1
160;322;0.87;0.87;321;0.16;0.16;8;12;2016;5;30;1.03;1.03;0.71;0.71;0;0;0;1;0.0486;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
160;321;0.59;0.59;322;0.37;0.37;9;12;2016;8;19;0.96;0.96;0.22;0.22;0;0;0;1;0.036;0;0;0;1;0;0;0.0896;0;0;1;0;0.128;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;1
160;322;0.79;0.79;321;0.24;0.24;10;12;2016;0;42;1.03;1.03;0.55;0.55;0;0;0;1;0.0486;0;0;0;1;0;0;0.08;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
160;321;0.55;0.55;322;0.5;0.5;10;12;2016;8;40;1.05;1.05;0.05;0.05;0;1;0;0;0;0;0;0;1;0;0;0.0896;0;0;1;0;0.128;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;1
160;322;0.5;0.5;321;0.55;0.55;10;12;2016;10;56;1.05;1.05;-0.05;-0.05;0;1;0;0;0.18;0;0;0;1;0;0;0.08;0;0;1;0;0.026;0;1;0;0;0;0.16;0;0;1;0;0;0.054;5
161;323;0.93;0.93;324;0.16;0.16;6;12;2016;2;2;1.09;1.09;0.77;0.77;0;0;1;0;0.18;0;0;0;1;0;0;0.0896;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;1;0;0;0.28;0
161;324;1;1;323;0.13;0.13;6;12;2016;14;11;1.13;1.13;0.87;0.87;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
161;323;0.85;0.85;324;0.24;0.24;8;12;2016;20;29;1.09;1.09;0.61;0.61;0;0;1;0;0.18;0;1;0;0;0;0;0.0144;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;1;0;0;0.28;0
161;324;1;1;323;0.13;0.13;8;12;2016;23;46;1.13;1.13;0.87;0.87;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
161;323;0.53;0.53;324;0.57;0.57;9;12;2016;23;50;1.1;1.1;-0.04;-0.04;0;0;1;0;0.18;0;1;0;0;0;0;0.0144;0;1;0;0;0;0;1;0;0;0;0.0522;0;0;1;0;0;0.28;0
161;324;0.57;0.57;323;0.53;0.53;10;12;2016;0;30;1.1;1.1;0.04;0.04;0;0;1;0;0;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;0;0;1;0;0;0.054;4
162;325;0.86;0.86;326;0.1;0.1;5;12;2016;11;50;0.96;0.96;0.76;0.76;0;0;1;0;0.18;0;0;1;0;0;0;0.128;1;0;0;0;0.2;0;0;0;1;0;0.0702;0;0;1;0;0;0.28;0
162;326;0.65;0.65;325;0.22;0.22;6;12;2016;12;20;0.87;0.87;0.43;0.43;0;0;0;1;0.0486;0;0;1;0;0;0;0.0448;0;1;0;0;0.2;0;0;0;0;1;0.0576;0;1;0;0;0;0.3;1
162;325;0.97;0.97;326;0.13;0.13;6;12;2016;17;25;1.1;1.1;0.84;0.84;0;0;1;0;0.18;0;0;1;0;0;0;0.128;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;1;0;0;0.28;0
162;326;0.45;0.45;325;0.53;0.53;6;12;2016;22;13;0.98;0.98;-0.08;-0.08;0;0;0;1;0.0486;0;0;1;0;0;0;0.0448;0;0;1;0;0.026;1;0;0;0;0;0.0304;0;1;0;0;0;0.3;1
162;325;0.97;0.97;326;0.13;0.13;7;12;2016;11;11;1.1;1.1;0.84;0.84;0;0;1;0;0.18;0;0;1;0;0;0;0.128;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;1;0;0;0.28;1
162;326;0.45;0.45;325;0.53;0.53;7;12;2016;18;19;0.98;0.98;-0.08;-0.08;0;0;0;1;0.0486;0;0;1;0;0;0;0.0448;0;0;1;0;0.026;1;0;0;0;0;0.0304;0;1;0;0;0;0.3;1
162;325;0.73;0.73;326;0.22;0.22;7;12;2016;20;33;0.95;0.95;0.51;0.51;0;0;1;0;0.18;0;0;1;0;0;0;0.128;0;0;1;0;0.128;1;0;0;0;0;0.18;0;0;0;1;0;0.112;1
162;326;0.4;0.4;325;0.67;0.67;7;12;2016;22;51;1.07;1.07;-0.27;-0.27;0;0;1;0;0;0;0;1;0;0;0;0.0448;0;0;1;0;0.026;1;0;0;0;0;0.0304;0;1;0;0;0;0.3;1
162;325;0.71;0.71;326;0.38;0.38;8;12;2016;10;45;1.09;1.09;0.33;0.33;0;0;1;0;0.18;1;0;0;0;0;0;0.16;0;0;1;0;0.128;1;0;0;0;0;0.18;0;1;0;0;0;0.0588;1
162;326;0.4;0.4;325;0.67;0.67;8;12;2016;18;16;1.07;1.07;-0.27;-0.27;0;0;1;0;0;0;0;1;0;0;0;0.0448;0;0;1;0;0.026;1;0;0;0;0;0.0304;0;1;0;0;0;0.3;1
162;325;0.71;0.71;326;0.38;0.38;8;12;2016;18;40;1.09;1.09;0.33;0.33;0;0;1;0;0.18;1;0;0;0;0;0;0.16;0;0;1;0;0.128;1;0;0;0;0;0.18;0;1;0;0;0;0.0588;1
162;326;0.4;0.4;325;0.67;0.67;9;12;2016;2;13;1.07;1.07;-0.27;-0.27;0;0;1;0;0;0;0;1;0;0;0;0.0448;0;0;1;0;0.026;1;0;0;0;0;0.0304;0;1;0;0;0;0.3;1
162;325;0.67;0.67;326;0.4;0.4;9;12;2016;11;9;1.07;1.07;0.27;0.27;0;0;1;0;0.18;0;0;1;0;0;0;0.128;0;0;1;0;0.128;1;0;0;0;0;0.18;0;1;0;0;0;0.0588;4
163;327;0.89;0.89;328;0.08;0.08;5;12;2016;14;20;0.97;0.97;0.81;0.81;0;0;1;0;0.18;1;0;0;0;0;0;0.16;1;0;0;0;0.2;0;0;0;1;0;0.0702;0;0;1;0;0;0.28;0
163;328;1;1;327;0.13;0.13;5;12;2016;16;46;1.13;1.13;0.87;0.87;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
163;327;0.8;0.8;328;0.2;0.2;6;12;2016;11;28;1;1;0.6;0.6;0;0;1;0;0.18;0;0;1;0;0;0;0.128;1;0;0;0;0.2;1;0;0;0;0;0.18;0;0;0;1;0;0.112;1
163;328;0.79;0.79;327;0.33;0.33;6;12;2016;14;19;1.12;1.12;0.46;0.46;0;1;0;0;0.18;0;0;0;1;0;0;0.08;0;1;0;0;0.2;1;0;0;0;0;0.0304;0;1;0;0;0;0.3;1
163;327;0.75;0.75;328;0.2;0.2;7;12;2016;12;6;0.95;0.95;0.55;0.55;0;0;0;1;0.036;0;0;1;0;0;0;0.128;0;0;1;0;0.128;1;0;0;0;0;0.18;0;0;1;0;0;0.28;1
163;328;0.66;0.66;327;0.36;0.36;8;12;2016;7;35;1.02;1.02;0.3;0.3;0;0;0;1;0.0486;0;0;0;1;0;0;0.08;0;1;0;0;0.2;1;0;0;0;0;0.0304;0;1;0;0;0;0.3;1
163;327;0.68;0.68;328;0.37;0.37;8;12;2016;14;38;1.05;1.05;0.31;0.31;0;1;0;0;0;0;0;0;1;0;0;0.0896;0;0;1;0;0.128;1;0;0;0;0;0.18;0;0;1;0;0;0.28;1
163;328;0.6;0.6;327;0.43;0.43;8;12;2016;19;38;1.03;1.03;0.17;0.17;0;0;0;1;0.0486;1;0;0;0;0;0;0.024;0;1;0;0;0.2;1;0;0;0;0;0.0304;0;1;0;0;0;0.3;1
163;327;0.55;0.55;328;0.54;0.54;9;12;2016;10;18;1.09;1.09;0.01;0.01;0;1;0;0;0;0;0;0;1;0;0;0.0896;0;1;0;0;0;1;0;0;0;0;0.18;0;0;1;0;0;0.28;1
163;328;0.54;0.54;327;0.55;0.55;9;12;2016;21;14;1.09;1.09;-0.01;-0.01;0;1;0;0;0.18;0;0;0;1;0;0;0.08;0;1;0;0;0.2;1;0;0;0;0;0.0304;0;0;1;0;0;0.054;1
163;327;0.55;0.55;328;0.54;0.54;10;12;2016;10;1;1.09;1.09;0.01;0.01;0;1;0;0;0;0;0;0;1;0;0;0.0896;0;1;0;0;0;1;0;0;0;0;0.18;0;0;1;0;0;0.28;4
164;329;1;0;330;1;0;6;12;2016;14;2;2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0
164;330;0.92;0.92;329;0.2;0.2;7;12;2016;12;22;1.12;1.12;0.72;0.72;0;1;0;0;0.18;0;0;0;1;0;0;0.08;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
164;329;0.16;0.16;330;0.46;0.46;8;12;2016;2;38;0.62;0.62;-0.3;-0.3;0;1;0;0;0;0;0;0;1;0;0;0.0896;0;1;0;0;0;0;0;0;1;0;0.0702;0;0;0;0;1;0;1
164;330;0.82;0.82;329;0.15;0.15;8;12;2016;11;31;0.97;0.97;0.67;0.67;0;1;0;0;0.18;0;0;0;1;0;0;0.08;0;1;0;0;0.2;0;0;0;0;1;0.0576;0;1;0;0;0;0.3;1
164;329;0.18;0.18;330;0.69;0.69;8;12;2016;18;50;0.87;0.87;-0.51;-0.51;0;0;0;1;0.036;0;0;0;1;0;0;0.0896;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0.0588;1
164;330;0.73;0.73;329;0.31;0.31;9;12;2016;10;32;1.04;1.04;0.42;0.42;0;0;0;1;0.0486;1;0;0;0;0;0;0.024;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
164;329;0.49;0.49;330;0.42;0.42;9;12;2016;11;27;0.91;0.91;0.07;0.07;0;0;0;1;0.036;1;0;0;0;0;0;0.16;0;1;0;0;0;1;0;0;0;0;0.18;0;0;0;1;0;0.112;1
164;330;0.73;0.73;329;0.31;0.31;9;12;2016;16;46;1.04;1.04;0.42;0.42;0;0;0;1;0.0486;1;0;0;0;0;0;0.024;0;1;0;0;0.2;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
164;329;0.51;0.51;330;0.53;0.53;9;12;2016;21;34;1.04;1.04;-0.02;-0.02;0;0;0;1;0.036;1;0;0;0;0;0;0.16;1;0;0;0;0.2;0;1;0;0;0;0.0522;0;1;0;0;0;0.0588;1
164;330;0.67;0.67;329;0.36;0.36;10;12;2016;9;20;1.03;1.03;0.31;0.31;0;0;0;1;0.0486;0;1;0;0;0;0;0.16;1;0;0;0;0;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
164;329;0.48;0.48;330;0.55;0.55;10;12;2016;9;35;1.03;1.03;-0.07;-0.07;0;0;0;1;0.036;0;0;1;0;0;0;0.128;1;0;0;0;0.2;0;1;0;0;0;0.0522;0;1;0;0;0;0.0588;1
164;330;0.67;0.67;329;0.36;0.36;10;12;2016;10;24;1.03;1.03;0.31;0.31;0;0;0;1;0.0486;0;1;0;0;0;0;0.16;1;0;0;0;0;0;1;0;0;0;0.16;0;1;0;0;0;0.3;1
164;329;0.51;0.51;330;0.62;0.62;10;12;2016;10;53;1.13;1.13;-0.11;-0.11;0;0;1;0;0.18;0;1;0;0;0;0;0.0144;1;0;0;0;0.2;0;1;0;0;0;0.0522;0;1;0;0;0;0.0588;1
164;330;0.62;0.62;329;0.51;0.51;10;12;2016;10;55;1.13;1.13;0.11;0.11;0;0;1;0;0;0;1;0;0;0;0;0.16;1;0;0;0;0;0;1;0;0;0;0.16;0;1;0;0;0;0.3;4
165;331;0.75;0.75;332;0.13;0.13;7;12;2016;9;31;0.88;0.88;0.62;0.62;0;0;0;1;0.036;1;0;0;0;0;0;0.16;1;0;0;0;0.2;0;0;0;1;0;0.0702;0;0;1;0;0;0.28;0
165;332;0.75;0.75;331;0.35;0.35;7;12;2016;11;22;1.1;1.1;0.4;0.4;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;1;0;0;0;0.16;0;0;1;0;0;0.054;1
165;331;0.8;0.8;332;0.31;0.31;7;12;2016;13;1;1.11;1.11;0.49;0.49;0;0;1;0;0.18;1;0;0;0;0;0;0.16;0;1;0;0;0;1;0;0;0;0;0.18;0;0;1;0;0;0.28;1
165;332;0.65;0.65;331;0.29;0.29;7;12;2016;14;16;0.94;0.94;0.36;0.36;0;1;0;0;0.18;0;1;0;0;0;0;0.16;0;1;0;0;0.2;0;0;0;0;1;0.0576;0;0;1;0;0;0.054;1
165;331;0.77;0.77;332;0.33;0.33;7;12;2016;15;38;1.1;1.1;0.44;0.44;0;0;1;0;0.18;0;0;1;0;0;0;0.128;0;1;0;0;0;1;0;0;0;0;0.18;0;0;1;0;0;0.28;1
165;332;0.54;0.54;331;0.55;0.55;7;12;2016;16;10;1.09;1.09;-0.01;-0.01;0;1;0;0;0.18;0;0;0;1;0;0;0.08;0;1;0;0;0.2;1;0;0;0;0;0.0304;0;0;1;0;0;0.054;1
165;331;0.55;0.55;332;0.58;0.58;9;12;2016;11;14;1.13;1.13;-0.03;-0.03;0;0;1;0;0.18;0;0;1;0;0;0;0.128;0;1;0;0;0;1;0;0;0;0;0.18;0;1;0;0;0;0.0588;1
